,Healthexp.GDP,LifeExp,Airpassengerspertotpopulation,InternetUsersPer100,AgricultureLand.area,CerealProdM3tonspertotpopulation,ForestArea.area,Urbanpop.total,FoodprodIndex,CompulsoryEdYears,MobileCellSubspertotpopulation,logHealthexppercapita,logCO2emKgper2010USofGDP,logPopDensityperSqKmland,logAdolesfertilityper1000,logGDPperCapCurrUS.,logUnemployment.rate,logFixedBroadSubspertotpopulation,logCaptureFishprodM3tonspertotpopulation,logIntTourismArrivalpertotpopulation,Olympics,Nuclear,Flag.Colours,Official.Languages,Coastline,Continent
Afghanistan,2.65,60.03,0.066623906,5.9,58.07,0.212509704,2.07,25.87,119.84,9,0.547776615,5.053247685,0.076961041,3.850147602,4.409884963,6.482112973,2.219203463,-9.925733161,-10.33119827,-2.726026745,N,N,multicolour,medium,N,Asia
Albania,2.84,77.64,0.298913366,57.2,43.33,0.2426491,28.23,55.38,127.86,9,1.272497697,6.335178357,-0.967584026,4.66079409,3.05116698,8.392162706,2.772588722,-2.76425389,-6.290389855,-0.013783464,N,N,two-colour,low,Y,Europe
Algeria,5.19,74.57,0.117645762,16.5,17.4,0.128647505,0.81,69.51,157.54,10,1.034853226,6.755605928,-0.274436846,2.774461967,2.407845604,8.610976752,2.282382405,-3.395612407,-5.944477913,-2.637072581,N,N,tricolour,medium,Y,Africa
Andorra,9.69,81.2633,4.921305156,94,44.26,0.752571675,34.04,86.17,105.7306,10,0.842283471,8.624189369,-1.832581464,5.084443221,2.340506886,10.66439151,1.995244381,-1.006783938,-1.436406618,3.423321774,N,N,multicolour,low,N,Europe
Angola,3.08,51.87,0.056374131,8.9,47.48,0.071448634,46.61,42.49,213.39,6,0.566576405,5.710393904,-1.078809661,2.934388643,5.143241259,8.580571665,1.931521425,-5.740272615,-4.056195962,-3.585576718,N,N,tricolour,low,Y,Africa
Antigua and Barbuda,3.59,75.78,13.53558926,63.4,20.45,0.000889037,22.27,24.64,88.9,11,1.270856254,7.022181576,-0.798507696,5.320616874,3.859887251,9.498678229,2.251081257,-1.749363786,-2.972500317,0.993418454,N,N,multicolour,low,Y,Northern America
Argentina,2.74,75.99,0.280953298,59.9,54.52,1.217552279,10.12,91.45,118.41,14,1.583549617,7.06858929,-0.891598119,2.743417345,4.157475844,9.474794758,1.960094771,-1.917660293,-3.888856972,-2.092939057,N,N,tricolour,low,Y,South America
Armenia,1.95,74.56,0.015039142,41.9,59.08,0.181692552,11.65,62.98,129.22,11,1.118335655,5.864369539,-0.673344553,4.654912278,3.201119103,8.220626433,2.785011289,-2.510461409,-6.610242932,-1.015348325,N,N,tricolour,low,N,Asia
Australia,6.27,82.15,2.950076291,83.45,51.63,1.539867605,16.16,89.15,119.52,10,1.07884324,8.356813149,-1.203972804,1.101940079,2.706048198,11.12214225,1.740466141,-1.351995769,-4.981294914,-1.287102021,Y,N,tricolour,low,Y,Australia
Austria,8.37,81.14,1.773415376,80.62,32.91,0.57294895,46.84,65.88,101.96,9,1.5652097,8.494773743,-1.897119985,4.632201525,2.075684493,10.82982208,1.589235225,-1.334514712,-10.09464806,1.073730965,Y,N,two-colour,low,N,Europe
